LABNR,C14AGE,C14STD,C13,METHOD,MATERIAL,COUNTRY,SITE,FEATURE,FEATURE_DESC,DEPTH,LAT,LONG,PHASE,LITHICS,POTTERY,IRON,FRUIT,ZOO,CLASS,REMARK,SOURCE
Beta-245121,210,50,,AMS,-,CMR,Dibamba,F. 85A (40-60 cm),Pit,0.5,3.996,9.822,,-,Dibamba A,-,,-,Ia,,Oslisly et al. 2013; de Saulieu et al. 2017: 25 Tab. 1
Beta-245122,200,40,,AMS,-,CMR,Dibamba,F. 171 (40-60 cm),Pit,0.5,3.996,9.822,,-,Dibamba B,-,,-,Ia,,de Saulieu et al. 2017: 25 Tab. 1
Beta-245123,130,40,,AMS,-,CMR,Dibamba,Niv. 1,Layer,,3.996,9.822,,-,Dibamba B,-,-,,Ia,,de Saulieu et al. 2017: 25 Tab. 1
Beta-246742,1610,40,,,-,CMR,Kribi-Talla,I,Pit,0.225,2.93,9.91,,indet,Bidjouka,object; slag,,-,Ia,,Gouem Gouem 2010/2011: 577; Eggert/Seidensticker 2016:80 Tab. 4.2
Beta-246743,1660,40,,,-,CMR,Kribi-Talla,II-A,Pit,0.3,2.93,9.91,,indet,Bidjouka,object; slag,,-,Ia,,"Gouem Gouem 2010/2011: 226, 568; Eggert/Seidensticker 2016:80 Tab. 4.2"
Beta-264858,1510,40,,,-,GNQ,Nanda/Corisco,-,Pit,,0.917,9.317,,-,Oveng,-,-,,Ia,,Gonzalez Ruibal et al. 2012; Sánchez-Elipe et al. 2016: 352 Tab. 2
Beta-264859,1560,40,,,-,GNQ,Nanda/Corisco,-,Trench,,0.917,9.317,,-,Oveng,-,-,,Ia,,Gonzalez Ruibal et al. 2012; Sánchez-Elipe et al. 2016: 352 Tab. 2
Beta-279278,900,40,,,-,CMR,Kribi-Mpolongwe,-,Pit,-,2.93,9.912,,-,indet,-,-,,Ib,,"Nlend Nlend 2013/2014: 257 Tab. 44, 283"
Beta-279279,2390,50,,,-,CMR,Kribi-Mpolongwe,8,Pit,,2.93,9.912,,-,Malongo/Bissiang; Bwambé/Mpoengu,-,-,,Ia,,Nlend Nlend 2013/2014
Beta-279280,810,40,,,-,CMR,Kribi-Mpolongwe,-,Pit,-,2.93,9.912,,-,indet,-,-,,Ib,,"Nlend Nlend 2013/2014: 257 Tab. 44, 283"
